Date1,Order1,Product,Qty,LineTotal,Textbox19,Textbox20,Textbox24,Textbox25,Textbox29,Textbox30
"31 maja, 2011",SO43659,"Long-Sleeve Logo Jersey, M",3,"$86,52",12,"$159,93",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43659,"Long-Sleeve Logo Jersey, XL",1,"$28,84",12,"$159,93",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43659,"Mountain Bike Socks, M",6,"$34,20",12,"$159,93",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43659,AWC Logo Cap,2,"$10,37",12,"$159,93",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43661,"Long-Sleeve Logo Jersey, L",4,"$115,36",10,"$193,79",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43661,"Long-Sleeve Logo Jersey, XL",2,"$57,68",10,"$193,79",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43661,AWC Logo Cap,4,"$20,75",10,"$193,79",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43664,"Long-Sleeve Logo Jersey, XL",1,"$28,84",2,"$57,68",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43664,"Long-Sleeve Logo Jersey, M",1,"$28,84",2,"$57,68",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43665,"Long-Sleeve Logo Jersey, L",2,"$57,68",10,"$102,25",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43665,AWC Logo Cap,2,"$10,37",10,"$102,25",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43665,"Mountain Bike Socks, M",6,"$34,20",10,"$102,25",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43667,"Mountain Bike Socks, L",3,"$17,10",3,"$17,10",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43668,"Long-Sleeve Logo Jersey, L",6,"$173,04",15,"$337,99",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43668,"Long-Sleeve Logo Jersey, M",4,"$115,36",15,"$337,99",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43668,"Long-Sleeve Logo Jersey, XL",1,"$28,84",15,"$337,99",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43668,AWC Logo Cap,4,"$20,75",15,"$337,99",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43670,"Mountain Bike Socks, L",1,"$5,70",3,"$17,10",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43670,"Mountain Bike Socks, M",2,"$11,40",3,"$17,10",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43671,"Long-Sleeve Logo Jersey, XL",1,"$28,84",3,"$86,52",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43671,"Long-Sleeve Logo Jersey, M",2,"$57,68",3,"$86,52",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43672,"Mountain Bike Socks, M",6,"$34,20",6,"$34,20",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43673,AWC Logo Cap,1,"$5,19",4,"$91,71",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43673,"Long-Sleeve Logo Jersey, L",3,"$86,52",4,"$91,71",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43675,"Long-Sleeve Logo Jersey, L",3,"$86,52",5,"$96,89",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43675,AWC Logo Cap,2,"$10,37",5,"$96,89",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43676,"Mountain Bike Socks, M",4,"$22,80",5,"$28,50",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43676,"Mountain Bike Socks, L",1,"$5,70",5,"$28,50",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43677,AWC Logo Cap,5,"$25,93",8,"$112,45",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43677,"Long-Sleeve Logo Jersey, L",3,"$86,52",8,"$112,45",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43678,AWC Logo Cap,3,"$15,56",6,"$102,08",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43678,"Long-Sleeve Logo Jersey, XL",1,"$28,84",6,"$102,08",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43678,"Long-Sleeve Logo Jersey, L",2,"$57,68",6,"$102,08",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43679,"Long-Sleeve Logo Jersey, L",2,"$57,68",2,"$57,68",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43680,AWC Logo Cap,3,"$15,56",5,"$73,24",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43680,"Long-Sleeve Logo Jersey, L",2,"$57,68",5,"$73,24",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43681,"Long-Sleeve Logo Jersey, M",2,"$57,68",12,"$298,78",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43681,"Long-Sleeve Logo Jersey, XL",2,"$57,68",12,"$298,78",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43681,"Long-Sleeve Logo Jersey, L",6,"$173,04",12,"$298,78",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43681,AWC Logo Cap,2,"$10,37",12,"$298,78",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43682,"Long-Sleeve Logo Jersey, L",1,"$28,84",1,"$28,84",167,"$2875,15",64569,"$1780769,91"
"31 maja, 2011",SO43683,"Mountain Bike Socks, M",6,"$34,20",11,"$107,44",167,"$2875,15",64569,"$1780769,91"
